host_yrs_exp,room_private,accommodates,bedrooms,number_of_reviews,n_bathrooms,bathroom_private,log_price,has_parking,has_heating,has_ac,has_tv
9,0,6,3,23,2.5,1,5.68697535633982,1,1,1,1
0,0,4,2,11,1.0,1,5.55295958492162,1,1,1,1
7,0,4,2,453,1.0,1,5.105945473900579,1,1,1,1
3,1,1,1,9,1.0,0,3.5553480614894104,1,1,1,1
9,1,2,1,12,1.5,1,4.0943445622220995,1,1,1,1
8,1,4,2,88,1.0,1,4.0943445622220995,1,1,1,1
2,1,3,1,21,1.0,1,4.57471097850338,1,1,1,1
7,0,2,1,50,1.0,1,4.61512051684126,1,1,1,1
7,0,4,2,62,2.0,1,5.774551545544409,1,1,1,1
4,0,1,1,32,1.0,0,3.2188758248682006,1,1,1,1
7,0,3,3,0,2.0,1,4.70048036579242,1,1,1,1
7,0,4,2,4,3.0,1,5.8171111599632,0,1,1,1
7,0,2,1,1,1.5,1,4.976733742420571,1,1,1,1
10,1,1,4,3,3.5,1,3.2188758248682006,1,1,1,1
6,0,2,1,40,1.0,1,4.787491742782049,1,1,1,1
2,0,6,2,159,1.0,1,4.787491742782049,1,1,1,1
5,1,1,1,0,1.0,1,3.63758615972639,1,1,1,1
8,0,6,3,30,2.0,1,5.605802066296,1,1,1,1
6,0,4,1,158,1.0,1,4.804021044733259,1,1,1,1
9,0,6,2,270,1.0,1,5.01727983681492,1,1,0,1
5,0,2,1,3,1.0,1,4.76217393479776,1,1,1,1
9,0,6,2,81,1.0,1,5.08759633523238,1,1,1,1
1,0,12,5,3,4.5,1,6.68461172766793,1,1,1,1
7,1,2,3,10,1.5,0,4.8283137373023,1,1,1,1
6,0,6,3,35,2.0,1,5.3278761687895795,1,1,0,1
7,0,6,1,1,1.0,1,4.86753445045558,1,1,1,1
5,0,2,1,3,1.0,1,3.9318256327243297,1,1,1,1
7,0,3,1,394,1.0,1,4.9416424226093,1,1,1,1
8,0,3,1,247,1.0,1,4.84418708645859,1,1,1,1
9,0,4,2,158,1.0,1,5.01727983681492,1,1,1,1
